nodes.female,keep
shslum_1,0
sh25d_1,0
sh28e_1,0
sh32fa_1,0
sh32fb_1,0
sh32fc_1,0
sh32fd_1,0
sh32fe_1,0
sh32ff_1,0
sh32g_1,0
sh32h_1,0
shreintv_1,0
ha35_01_9,0
sh106a4_0,0
hv237g_1,0
shlanq_2,0
sh106a1_1,0
sh106a2_1,0
sh106a3_1,0
sh106a5_1,0
sh110s_1,0
sh136e1_1,0
sh136e2_1,0
sh136e3_1,0
sh136f1_1,0
sh136f2_1,0
sh136f3_1,0
sh136f4_1,0
sh136f6_1,0
sh136f7_1,0
hv226_6,0
sv62_01_2,0
sv64_01_2,0
sh136ca_1,0
sh136cb_1,0
sh136cc_1,0
sh136cd_1,0
sh136ce_1,0
sh136cx_1,0
shnotne_1,0
sh25b_1,0
hv237e_1,0
shhivint_1,0
shlabstat_2,0
shhived1_2,0
sh53_01_2,0
shhivint_01_2,0
sh111b_1,1
sh110c_1,0
sprelim_3,0
ha64_1_1,1
hv237c_0,1
hv237c_8,0
hv237g_8,0
hv237h_8,0
sh119e_1,0
sh120_1,1
sh021_1,0
sh023_1,0
sh025_1,0
sh021_01_1,0
sh023_01_1,0
sh025_01_1,0
sh410a_1_1,0
slquest_2,0
sh27b_1,1
sh27f_1,0
sh27h_1,0
sh29d_1,0
shlquest_1,0
hv045a_3,0
shmnut_1,0
ha60_1_2,0
sh106aa_8,0
sh106ab_8,0
sh106ac_8,0
sh106ax_8,0
sh106az_8,0
shinterp_1,0
shusaid_1,0
sh106aa_1,0
sh106ab_1,0
sh106ac_1,0
sh123e_1,0
ha33_01_6,0
shspray_1,0
sh104g_1,0
sh110_1,0
sh113_1,1
sh13_01_1,0
sh141_1,1
sh20_1,1
sh20_01_1,0
ha33_1_6,0
shunicef_3,0
sh22b_1,1
hv205_22,0
sh52_2,0
ha35_1_1,0
sh52_01_2,0
sh109aa_1,0
sh109ab_1,0
sh109ac_1,0
sh21_1,0
sh25_1,1
sh28_1,0
hml33_0,0
sh25_01_1,0
sh28_01_1,0
ha13_1_9,0
ha52_1_9,0
ha61_1_9,0
sheligchiv_1,0
sheligdvw_1,0
hv044_1,0
hv213_32,1
sh111e_1,0
sh111f_1,0
sh121f_1,0
sh127a_1,0
ha52_9,0
ha64_9,0
sh524a_9,0
sh528b_9,0
ha54_01_9,0
hb69,0
hb70,0
hb69_1,0
hv118_0,1
hv118_1,0
hb68_0,0
hb63_1_1,1
hb63_1_3,1
hb63_1_2,0
hb68_1_0,0
hb68_1_1,0
hb68_1_2,0
hb68_1_3,0
sm49c,0
sm50_9,0
sh03_98,0
sm49h_0,0
