name,gender,beta,se,zval,pvalue,tau2,H2,k,I2,QE,QEp,mean_r2,num_surveys,category,var,var_lbl,lvl_lbl
m57h_1_9,f,-7.1117015882974,1.5242054211130138,-4.665841946096907,3.0735589508863468e-6,22.772852864634615,98.25054772060459,10,98.98219396919424,884.2549294854412,1.5265025990490592e-184,3.908220106196739e-4,"(3,10]",NA,NA,NA,NA
m57i_1_9,f,-6.510115752144791,2.054685089599225,-3.168425071607745,0.0015326725036677214,37.50379731822403,145.09379918863473,9,99.31079067086809,1160.750393509078,2.893854711650908e-245,7.398539865166586e-4,"(3,10]",NA,NA,NA,NA
m57j_1_9,f,-6.615053957061468,3.537067951203897,-1.8702083330940618,0.061454892980576104,49.678259162455554,278.42786621262246,4,99.6408405474629,835.2835986378673,9.634899481072214e-181,3.717735167738655e-4,"(3,10]",NA,NA,NA,NA
m57k_1_9,f,-6.615053957061468,3.537067951203897,-1.8702083330940618,0.061454892980576104,49.678259162455554,278.42786621262246,4,99.6408405474629,835.2835986378673,9.634899481072214e-181,3.717735167738655e-4,"(3,10]",NA,NA,NA,NA
m57l_1_9,f,-7.354173104929251,1.9499056362573797,-3.7715533347781607,1.6223447164839856e-4,37.65782283997896,159.23752571976098,10,99.37200732334921,1433.1377314778488,5.3453691518603787e-303,3.8179281292535224e-4,"(3,10]",NA,NA,NA,NA
m57l_19,f,2.10934708810742,1.1020281607254,1.9140591531880287,0.05561259791804443,0,1,1,0,0,1,0.00280819658260056,"(0,1]",NA,NA,NA,NA
m57m_1_9,f,-6.43433152016637,1.3522748526841313,-4.758153645610477,1.953717684557758e-6,32.40668954529685,116.07355516049759,18,99.13847732274824,1973.2504377284592,0,4.7571388532810814e-4,"(10,50]",NA,NA,NA,NA
m57n_1_9,f,-8.276016211641089,1.3855176547668284,-5.973230426308697,2.3260099541189346e-9,18.789018090887435,83.40747224847314,10,98.80106665141346,750.6672502362583,8.78117274427193e-156,3.904683631727249e-4,"(3,10]",NA,NA,NA,NA
m57n_19,f,0.86003986304144,1.0258226162489,0.838390428733504,0.4018114631766795,0,1,1,0,0,1,5.24664036957168e-5,"(0,1]",NA,NA,NA,NA
m57o_1_9,f,-8.505585599469597,1.4772824597172571,-5.757589243358047,8.53236634325844e-9,21.41011224020124,82.57001341020349,10,98.78890657915719,743.1301206918314,3.672159438575749e-154,4.905246621152884e-4,"(3,10]",NA,NA,NA,NA
m57o_19,f,2.10934708810742,1.1020281607254,1.9140591531880287,0.05561259791804443,0,1,1,0,0,1,0.00280819658260056,"(0,1]",NA,NA,NA,NA
m57p_1_9,f,-10.06582836470536,1.7352457667704648,-5.800808483422654,6.599594203100089e-9,17.813353783562757,86.7437112562113,6,98.84717867668084,433.7185562810565,1.595304061495868e-91,4.664247270179295e-4,"(3,10]",NA,NA,NA,NA
m57p_19,f,-5.020348742228901,6.970700500841054,-0.7202072075285931,0.47139742687788816,96.48338622540918,139.16859262162706,2,99.28144706994429,139.16859262162706,4.046011011661764e-32,8.092805193687955e-4,"(1,3]",NA,NA,NA,NA
m57q_1_9,f,-12.7618660609107,0.292711511483384,-43.59878433286399,0,0,1,1,0,0,1,3.98764182814815e-4,"(0,1]",NA,NA,NA,NA
m57r_1_9,f,-5.757734653291516,2.2648913327421334,-2.5421681694196567,0.01101671534744519,40.49497499970767,118.80256535810578,8,99.15826733455991,831.6179575067405,2.784364888715246e-175,6.918898589676614e-4,"(3,10]",NA,NA,NA,NA
m57r_19,f,-13.006773877326703,0.43009532913232906,-30.241606909720378,6.72686327782833e-201,0,1,1,0,0,1,2.4540658806993e-4,"(0,1]",NA,NA,NA,NA
m57s_1_9,f,-4.276094211917269,5.290155194352376,-0.808311676088881,0.41891118263748034,83.44012246285989,235.7860258518355,3,99.57588665554405,471.5720517036709,3.975850655326378e-103,4.82463066300361e-4,"(1,3]",NA,NA,NA,NA
m57t_1_9,f,-6.983641958758139,5.820502042366137,-1.199834981231132,0.23020343547649563,67.18043777093018,116.8980132558581,2,99.14455346832005,116.8980132558581,3.022153912710402e-27,3.207474075263005e-4,"(1,3]",NA,NA,NA,NA
m57u_1_9,f,-6.983641958758139,5.820502042366137,-1.199834981231132,0.23020343547649563,67.18043777093018,116.8980132558581,2,99.14455346832005,116.8980132558581,3.022153912710402e-27,3.207474075263005e-4,"(1,3]",NA,NA,NA,NA
m57v_1_9,f,-1.12055263818856,1.03615763049608,-1.0814499697812139,0.2794970040082116,0,1,1,0,0,1,2.42730632237786e-4,"(0,1]",NA,NA,NA,NA
m57x_1_9,f,-6.43433152016637,1.3522748526841313,-4.758153645610477,1.953717684557758e-6,32.40668954529685,116.07355516049759,18,99.13847732274824,1973.2504377284592,0,4.7571388532810814e-4,"(10,50]",NA,NA,NA,NA
m58_1_9,f,-11.450174562279,0.792227517284265,-14.45313917084059,2.3951582075385088e-47,0,1,1,0,0,1,3.06702089340805e-4,"(0,1]",NA,NA,NA,NA
m59_1_9,f,-12.356263472054172,0.7516125143882475,-16.43967235179843,9.945516627958614e-61,0.7916186835397195,3.050137508240603,2,67.21459287332834,3.050137508240603,0.08073030740969189,2.7780064969285e-4,"(1,3]",NA,NA,NA,NA
m59_2_9,f,-13.0045822991219,0.525984084728612,-24.724288579628364,5.86239349679376e-135,0,1,1,0,0,1,7.92165637353626e-4,"(0,1]",NA,NA,NA,NA
m6_1,f,-0.002034647173063576,5.110050243419176e-4,-3.981657862726174,6.843624424297133e-5,3.847781658466262e-6,1.7831461658894165,43,43.919347772524894,74.89213896735549,0.0013429773367356955,0.001016219457648528,"(10,50]",NA,NA,NA,NA
m6_2,f,-0.0010104652050736203,0.0021783755079795015,-0.463861809578851,0.6427467560716646,4.514239760928377e-5,1.9311445911758984,24,48.217238389638794,44.41632559704566,0.004682599811574341,0.0014795768010141914,"(10,50]",NA,NA,NA,NA
m60_1_9,f,-8.10660384653166,1.1749278545106463,-6.899660958253505,5.212679640279593e-12,18.668205124628905,58.887538961521514,14,98.30184786521065,765.5380064997796,3.3016856341396106e-155,2.0026420662217734e-4,"(10,50]",NA,NA,NA,NA
m62_1_9,f,-11.21169006352794,0.6266278131263614,-17.892104098588852,1.3587925564453732e-71,4.228156455164695,14.316196210809943,12,93.01490434138563,157.47815831890938,4.398100409784271e-28,4.153153398822054e-4,"(10,50]",NA,NA,NA,NA
m64_1_99,f,-8.864990078125254,2.922545468585561,-3.0333112601377894,0.002418859672471849,24.904345147567092,52.4369179713821,3,98.09294665154471,104.87383594276422,1.686304026529925e-23,2.0973121575166662e-4,"(1,3]",NA,NA,NA,NA
m65a_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65b_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65c_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65d_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65e_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65f_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65g_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65h_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m65i_1_9,f,-12.298611291731364,1.0272850008579193,-11.971956449729522,4.9839354753403326e-33,1.7856374861591253,6.277260880291109,2,84.0694847789467,6.277260880291109,0.012229698705204496,9.284800556180214e-4,"(1,3]",NA,NA,NA,NA
m65x_1_9,f,-7.122472839751609,2.4402223636477856,-2.9187802496427104,0.0035140384767285587,29.266447257962472,86.55630431753953,5,98.84468265150115,346.22521727015805,1.1454589878535771e-73,8.348601834899733e-4,"(3,10]",NA,NA,NA,NA
m66_1_9,f,-5.503496444092056,1.6620976172734336,-3.3111752203340465,9.29050151629158e-4,37.9590030498973,104.15477742662942,14,99.03989041625628,1354.0121065461824,1.2376098750096383e-281,3.0162435015183646e-4,"(10,50]",NA,NA,NA,NA
