var1,var2,total,avg_r,max_r,removeVar1,removeVar2
sh022_0,sh021_0,1,0.9763095013042067,0.9763095013042067,1,0
sh022_1,sh021_1,1,0.9999999999999999,0.9999999999999999,1,0
hml17_01_2,hml17_2,1,1,1,1,0
sh17aa_01_0,hv106_01_0,1,1,1,1,0
sh17aa_01_1,hv106_01_1,1,1,1,1,0
sh17a_01_2,hv106_01_2,1,1,1,1,0
sh17a_01_3,hv106_01_3,1,1,1,1,0
sh17aa_01_9,hv106_01_9,1,1,1,1,0
sh17aa_01_0,hv109_01_0,1,1,1,1,1
sh17a_01_1,hv109_01_1,1,0.904575330006857,0.904575330006857,1,1
sh17aa_01_1,hv109_01_1,1,0.904575330006857,0.904575330006857,1,1
sh17a_01_3,hv109_01_5,1,1,1,1,1
sh17aa_01_9,hv109_01_9,1,1,1,1,1
sh19a_01_0,hv121_01_0,1,0.9694959930913355,0.9694959930913355,1,1
sh19aa_01_0,hv121_01_0,1,0.9972621440752014,0.9972621440752014,1,1
sh19aa_01_9,hv121_01_9,1,0.9999999999999999,0.9999999999999999,1,1
sh19a_01_0,hv122_01_0,1,0.9665094047519491,0.9665094047519491,1,1
sh19aa_01_0,hv122_01_0,1,1,1,1,1
sh19aa_01_1,hv122_01_1,1,0.9999999999999999,0.9999999999999999,1,0
sh19a_01_2,hv122_01_2,1,1,1,1,1
sh19aa_01_2,hv122_01_2,1,0.9523803566509413,0.9523803566509413,1,1
sh19a_01_3,hv122_01_3,1,1,1,1,0
sh19aa_01_9,hv122_01_9,1,0.9999999999999999,0.9999999999999999,1,1
sh17aa_01_0,sh17a_01_0,1,0.9837693150745924,0.9837693150745924,1,1
sh17aa_01_1,sh17a_01_1,1,1,1,1,1
sh19aa_01_1,sh19a_01_1,1,0.9999999999999999,0.9999999999999999,1,1
sh19aa_01_2,sh19a_01_2,1,0.9523803566509413,0.9523803566509413,1,1
sh022_01_0,sh021_01_0,1,0.9729050360110221,0.9729050360110221,1,0
sh022_01_1,sh021_01_1,1,1,1,1,0
shdist_11,hv023_1,1,1,1,1,1
shdist_6,hv023_2,1,1,1,1,1
shdist2_205,hv023_2,1,1,1,1,1
shdist_3,hv023_3,1,1,1,1,1
shdist2_302,hv023_3,1,1,1,1,1
shdist_10,hv023_4,1,1,1,1,1
shdist2_308,hv023_4,1,1,1,1,1
shdist_7,hv023_5,1,1,1,1,1
shdist2_307,hv023_5,1,1,1,1,1
